<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.07.01	5208.000	5256.500	5206.000	5241.500	519968	2287447	1
2026.07.02	5234.500	5258.000	5196.500	5245.000	638185	2600579	1
2026.07.03	5235.500	5237.500	5201.000	5206.000	283217	1226310	1
2026.07.06	5208.000	5218.500	5157.500	5158.000	423209	1913404	1
2026.07.07	5165.000	5202.500	5161.500	5192.000	421150	1781185	1
2026.07.08	5209.500	5215.500	5166.000	5180.500	511827	2226644	1
2026.07.09	5179.000	5185.000	5136.500	5142.000	357722	1537138	1
2026.07.10	5143.000	5154.000	5125.000	5137.500	132927	1933779	0
2026.07.13	5137.500	5165.500	5133.500	5160.000	136649	2073952	0
2026.07.14	5150.000	5150.500	5086.500	5096.000	150901	2351283	0
2026.07.15	5097.000	5108.500	5077.500	5098.000	427709	2022774	1
2026.07.16	5115.000	5134.000	5099.500	5121.500	360344	1612957	1
2026.07.17	5133.000	5151.000	5122.500	5128.000	402672	1803962	1
2026.07.20	5122.000	5131.000	5097.000	5106.500	366385	1769053	1
2026.07.21	5095.000	5100.000	5080.000	5086.500	334627	1627800	1
2026.07.22	5090.000	5096.000	5059.500	5070.000	359862	1785855	1
2026.07.23	5087.000	5103.500	5079.500	5091.500	414059	1884340	1
