<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.07.01	09:00:00	5208.000	5228.500	5206.000	5225.000	31773	120519	1
2026.07.01	09:15:00	5225.000	5233.000	5223.500	5230.000	23852	96914	1
2026.07.01	09:30:00	5230.000	5235.000	5226.500	5233.000	24021	95010	1
2026.07.01	09:45:00	5233.000	5237.000	5226.500	5231.500	27096	130157	1
2026.07.01	10:00:00	5231.500	5238.000	5226.000	5235.000	26445	112479	1
2026.07.01	10:15:00	5235.000	5237.500	5229.500	5230.500	26694	103513	1
2026.07.01	10:30:00	5231.000	5237.000	5221.500	5221.500	33366	140400	1
2026.07.01	10:45:00	5222.000	5226.000	5215.500	5223.500	29825	130128	1
2026.07.01	11:00:00	5223.500	5226.500	5215.500	5217.000	19817	88519	1
2026.07.01	11:15:00	5217.000	5230.000	5215.500	5229.000	21226	92570	1
2026.07.01	11:30:00	5229.000	5235.500	5226.500	5233.000	20591	95152	1
2026.07.01	11:45:00	5232.500	5246.000	5231.500	5244.500	26253	117612	1
2026.07.01	12:00:00	5244.500	5250.000	5242.500	5248.000	23165	122806	1
2026.07.01	12:15:00	5248.000	5256.500	5246.000	5246.000	24631	122942	1
2026.07.01	12:30:00	5246.000	5247.500	5239.000	5240.000	15909	71432	1
2026.07.01	12:45:00	5240.000	5243.000	5235.000	5240.000	14257	55955	1
2026.07.01	13:00:00	5239.500	5240.000	5234.500	5236.500	8857	32985	1
2026.07.01	13:15:00	5236.500	5238.000	5233.000	5233.000	5628	26861	1
2026.07.01	13:30:00	5233.500	5236.000	5232.000	5233.000	6783	32930	1
2026.07.01	13:45:00	5233.000	5238.500	5231.500	5236.000	8072	33015	1
2026.07.01	14:00:00	5236.000	5236.000	5232.500	5234.000	5487	20057	1
2026.07.01	14:15:00	5234.000	5236.500	5233.000	5233.500	4333	19195	1
2026.07.01	14:30:00	5234.000	5237.500	5233.000	5235.000	5141	22059	1
2026.07.01	14:45:00	5235.500	5240.500	5234.500	5240.000	7895	33162	1
2026.07.01	15:00:00	5240.000	5243.500	5238.500	5241.500	9129	37945	1
2026.07.01	15:15:00	5241.500	5246.000	5240.500	5245.500	7601	36796	1
2026.07.01	15:30:00	5245.500	5246.000	5244.000	5244.000	4492	21924	1
2026.07.01	15:45:00	5244.500	5249.000	5244.000	5247.000	10222	47484	1
2026.07.01	16:00:00	5247.000	5248.000	5242.500	5248.000	10503	52101	1
2026.07.01	16:15:00	5247.500	5248.000	5244.500	5247.000	5736	26789	1
2026.07.01	16:30:00	5247.500	5252.000	5246.500	5248.500	7705	38396	1
2026.07.01	16:45:00	5248.500	5251.500	5247.500	5247.500	6095	23728	1
2026.07.01	17:00:00	5247.500	5250.500	5246.500	5247.500	4334	18964	1
2026.07.01	17:15:00	5247.500	5251.000	5246.500	5250.000	3030	15453	1
2026.07.01	17:30:00	5249.500	5250.500	5245.500	5246.500	2644	12696	1
2026.07.01	17:45:00	5246.500	5247.500	5244.500	5246.500	2547	19271	1
2026.07.01	18:00:00	5246.000	5249.000	5245.500	5248.000	1775	5677	1
2026.07.01	18:15:00	5248.000	5249.000	5241.500	5241.500	3038	13851	1
2026.07.02	09:00:00	5234.500	5243.000	5231.000	5240.000	29530	115486	1
2026.07.02	09:15:00	5240.000	5250.000	5238.500	5245.000	21647	92131	1
2026.07.02	09:30:00	5245.000	5246.000	5196.500	5200.000	80809	332480	1
2026.07.02	09:45:00	5199.500	5223.000	5199.500	5218.500	43526	160042	1
2026.07.02	10:00:00	5218.000	5231.000	5217.000	5224.000	43425	177752	1
2026.07.02	10:15:00	5223.500	5237.000	5221.500	5235.500	24389	106049	1
2026.07.02	10:30:00	5235.500	5241.500	5216.000	5216.500	43099	162180	1
2026.07.02	10:45:00	5216.500	5229.500	5214.000	5222.000	31096	120270	1
2026.07.02	11:00:00	5222.000	5227.500	5217.500	5227.500	24900	109014	1
2026.07.02	11:15:00	5227.500	5234.000	5221.000	5231.500	22926	86451	1
2026.07.02	11:30:00	5231.500	5243.000	5228.500	5241.000	22909	90608	1
2026.07.02	11:45:00	5240.500	5242.000	5231.000	5233.000	17847	67507	1
2026.07.02	12:00:00	5233.000	5241.500	5232.500	5234.500	20442	83560	1
2026.07.02	12:15:00	5234.500	5236.500	5231.000	5234.500	10860	36216	1
2026.07.02	12:30:00	5234.000	5236.000	5229.000	5235.000	10968	48640	1
2026.07.02	12:45:00	5234.500	5240.500	5234.500	5239.000	9565	40457	1
2026.07.02	13:00:00	5239.000	5249.000	5236.000	5247.500	17554	79051	1
2026.07.02	13:15:00	5247.500	5258.000	5247.500	5255.500	20161	79350	1
2026.07.02	13:30:00	5255.000	5256.500	5250.000	5250.500	13505	50157	1
2026.07.02	13:45:00	5251.000	5253.500	5243.500	5251.500	14698	64890	1
2026.07.02	14:00:00	5252.000	5253.000	5245.000	5249.000	10038	37935	1
2026.07.02	14:15:00	5249.500	5252.000	5247.500	5249.000	6571	31170	1
2026.07.02	14:30:00	5249.000	5255.000	5247.000	5250.500	8795	38193	1
2026.07.02	14:45:00	5250.500	5255.000	5249.500	5253.000	7560	32165	1
2026.07.02	15:00:00	5252.500	5254.500	5247.000	5249.000	9030	34087	1
2026.07.02	15:15:00	5249.000	5249.500	5244.000	5244.500	8217	32900	1
2026.07.02	15:30:00	5244.500	5245.500	5239.500	5241.000	11713	56665	1
2026.07.02	15:45:00	5241.500	5244.500	5239.500	5242.500	8997	37250	1
2026.07.02	16:00:00	5242.500	5246.000	5241.000	5244.500	6474	23497	1
2026.07.02	16:15:00	5245.000	5250.500	5244.500	5248.000	6343	24285	1
2026.07.02	16:30:00	5248.500	5250.500	5247.000	5249.500	4442	19251	1
2026.07.02	16:45:00	5249.500	5251.500	5245.000	5245.500	7080	31832	1
2026.07.02	17:00:00	5246.000	5247.500	5241.500	5242.500	5949	28056	1
2026.07.02	17:15:00	5243.000	5245.000	5240.500	5241.500	3187	16119	1
2026.07.02	17:30:00	5241.500	5241.500	5237.000	5238.500	3122	20082	1
2026.07.02	17:45:00	5238.000	5242.000	5237.500	5241.500	3223	16742	1
2026.07.02	18:00:00	5241.500	5242.500	5239.000	5242.000	1616	8087	1
2026.07.02	18:15:00	5242.000	5246.000	5241.500	5245.000	1972	9972	1
2026.07.03	09:00:00	5235.500	5237.500	5227.500	5233.500	21094	70471	1
2026.07.03	09:15:00	5233.500	5235.500	5219.000	5219.500	22449	89728	1
2026.07.03	09:30:00	5219.000	5219.500	5209.000	5217.500	28928	116275	1
2026.07.03	09:45:00	5217.500	5218.000	5211.500	5213.000	12762	51915	1
2026.07.03	10:00:00	5213.500	5218.000	5207.500	5216.500	21465	86421	1
2026.07.03	10:15:00	5216.000	5223.000	5214.500	5220.000	17298	65323	1
2026.07.03	10:30:00	5219.500	5223.500	5219.000	5221.500	10495	45133	1
2026.07.03	10:45:00	5221.500	5222.500	5212.500	5214.500	14444	54171	1
2026.07.03	11:00:00	5214.000	5215.500	5210.000	5213.000	13170	57347	1
2026.07.03	11:15:00	5213.500	5214.000	5209.500	5213.000	9541	36792	1
2026.07.03	11:30:00	5212.500	5214.000	5210.500	5212.500	5882	22753	1
2026.07.03	11:45:00	5212.500	5213.000	5207.500	5208.500	8747	37739	1
2026.07.03	12:00:00	5208.000	5208.500	5203.500	5205.000	11700	53475	1
2026.07.03	12:15:00	5205.000	5205.500	5201.000	5205.500	9363	46600	1
2026.07.03	12:30:00	5205.500	5207.500	5203.000	5205.500	5307	21542	1
2026.07.03	12:45:00	5205.500	5207.000	5204.000	5204.500	3321	15628	1
2026.07.03	13:00:00	5204.500	5204.500	5201.500	5203.500	5088	28794	1
2026.07.03	13:15:00	5203.500	5205.500	5203.000	5203.500	2589	11909	1
2026.07.03	13:30:00	5204.000	5205.000	5201.500	5202.500	3408	17599	1
2026.07.03	13:45:00	5202.500	5205.500	5201.500	5205.000	3276	17807	1
2026.07.03	14:00:00	5204.500	5207.000	5204.000	5206.500	4109	22576	1
2026.07.03	14:15:00	5206.500	5206.500	5203.500	5204.000	4407	28056	1
2026.07.03	14:30:00	5203.500	5205.000	5202.000	5202.500	3286	16068	1
2026.07.03	14:45:00	5202.500	5204.500	5201.500	5204.000	2276	10067	1
2026.07.03	15:00:00	5204.000	5205.500	5203.500	5204.500	3091	14483	1
2026.07.03	15:15:00	5204.500	5206.500	5203.500	5206.500	3877	21980	1
2026.07.03	15:30:00	5206.500	5206.500	5203.500	5205.000	2832	14201	1
2026.07.03	15:45:00	5205.500	5205.500	5203.000	5203.500	3620	18941	1
2026.07.03	16:00:00	5203.000	5206.000	5202.500	5205.500	3704	24324	1
2026.07.03	16:15:00	5205.000	5206.500	5204.000	5205.000	2502	17938	1
2026.07.03	16:30:00	5205.000	5206.500	5204.000	5206.000	2391	11883	1
2026.07.03	16:45:00	5206.000	5206.000	5203.500	5204.000	2870	16623	1
2026.07.03	17:00:00	5204.000	5207.000	5204.000	5206.500	3250	17871	1
2026.07.03	17:15:00	5207.000	5207.000	5205.500	5206.000	1415	5503	1
2026.07.03	17:30:00	5205.500	5206.000	5204.000	5205.000	2412	9442	1
2026.07.03	17:45:00	5205.000	5206.500	5204.500	5205.500	1596	7510	1
2026.07.03	18:00:00	5205.500	5207.500	5205.000	5206.500	1696	6531	1
2026.07.03	18:15:00	5206.500	5209.000	5205.500	5206.000	3556	14891	1
2026.07.06	09:00:00	5208.000	5218.500	5204.000	5212.000	29149	109679	1
2026.07.06	09:15:00	5212.500	5212.500	5204.500	5207.500	23106	85318	1
2026.07.06	09:30:00	5208.000	5211.000	5206.000	5209.500	10641	37800	1
2026.07.06	09:45:00	5209.500	5213.500	5205.000	5210.000	19075	84267	1
2026.07.06	10:00:00	5210.000	5213.000	5206.500	5209.000	15342	68199	1
2026.07.06	10:15:00	5209.000	5211.000	5204.000	5209.000	15093	58399	1
2026.07.06	10:30:00	5208.500	5210.000	5201.000	5201.500	17610	67375	1
2026.07.06	10:45:00	5202.000	5205.500	5198.000	5202.500	22455	87453	1
2026.07.06	11:00:00	5202.500	5205.000	5197.500	5198.000	16777	74262	1
2026.07.06	11:15:00	5198.500	5205.000	5198.000	5205.000	12611	57623	1
2026.07.06	11:30:00	5204.500	5209.500	5203.500	5208.000	14306	51212	1
2026.07.06	11:45:00	5208.000	5209.000	5202.000	5202.500	13783	60503	1
2026.07.06	12:00:00	5202.500	5203.000	5198.500	5199.000	14069	73212	1
2026.07.06	12:15:00	5199.500	5202.500	5195.000	5195.500	11988	63643	1
2026.07.06	12:30:00	5195.500	5196.500	5185.500	5186.500	19661	111410	1
