<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.07.01	174005	174685	172050	174530	4870997	15695625	1
2026.07.02	174560	177055	173910	175175	5297599	17090714	1
2026.07.03	175725	177175	175300	176910	3800400	12653534	1
2026.07.06	176600	176835	173855	174535	4794481	15980906	1
2026.07.07	174370	175795	173545	173600	5163698	18217440	1
2026.07.08	172230	173885	172005	172665	4691993	15952832	1
2026.07.09	173025	175490	172460	175490	4245644	15377589	1
2026.07.10	175900	180670	175900	180515	1863222	18088663	0
2026.07.13	179670	180245	176990	177400	1787693	16750846	0
2026.07.14	178140	179220	177285	178200	1782137	16209133	0
2026.07.15	178050	178665	176980	177920	4364428	15109163	1
2026.07.16	177505	178765	175100	175255	4694072	16290289	1
2026.07.17	174550	176065	174515	175070	4358200	15336580	1
2026.07.20	175580	175955	174530	174665	4148070	14599614	1
2026.07.21	175245	175345	173500	174690	4224864	14602287	1
2026.07.22	174250	179230	174245	178775	4989192	18449108	1
2026.07.23	178400	179125	177400	178025	4364690	15369289	1
