<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.07.01	09:00:00	174005	174230	172710	173235	458958	1102752	1
2026.07.01	09:15:00	173230	173310	172485	172690	291751	760118	1
2026.07.01	09:30:00	172690	172720	172315	172375	180053	547580	1
2026.07.01	09:45:00	172380	172660	172190	172385	214553	659833	1
2026.07.01	10:00:00	172385	172590	172050	172340	287277	893049	1
2026.07.01	10:15:00	172345	172985	172190	172855	328572	1067471	1
2026.07.01	10:30:00	172860	174120	172580	174040	438962	1440805	1
2026.07.01	10:45:00	174045	174270	173580	173830	269453	864742	1
2026.07.01	11:00:00	173830	174120	173705	174025	176306	584071	1
2026.07.01	11:15:00	174025	174480	173880	174075	233177	822959	1
2026.07.01	11:30:00	174075	174220	173835	173865	137483	477121	1
2026.07.01	11:45:00	173865	174100	173660	173705	152108	533063	1
2026.07.01	12:00:00	173705	173835	173485	173625	112498	399998	1
2026.07.01	12:15:00	173625	173805	173465	173640	105608	376118	1
2026.07.01	12:30:00	173635	174410	173575	174370	126665	430160	1
2026.07.01	12:45:00	174370	174540	174210	174270	114446	390823	1
2026.07.01	13:00:00	174265	174495	174210	174410	65111	231522	1
2026.07.01	13:15:00	174415	174535	174255	174520	54528	185274	1
2026.07.01	13:30:00	174510	174640	174460	174550	74091	254144	1
2026.07.01	13:45:00	174550	174610	174260	174355	77379	267577	1
2026.07.01	14:00:00	174360	174685	174345	174475	82168	275340	1
2026.07.01	14:15:00	174475	174625	174435	174510	44704	144979	1
2026.07.01	14:30:00	174510	174605	174375	174575	67224	230271	1
2026.07.01	14:45:00	174570	174590	174005	174145	98780	352931	1
2026.07.01	15:00:00	174145	174310	173915	174015	82050	278186	1
2026.07.01	15:15:00	174010	174240	173915	174085	73089	263272	1
2026.07.01	15:30:00	174085	174165	174010	174115	45208	160194	1
2026.07.01	15:45:00	174110	174120	173990	174105	33632	117429	1
2026.07.01	16:00:00	174105	174565	174000	174295	90551	318997	1
2026.07.01	16:15:00	174300	174515	174290	174335	64723	231214	1
