<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.07.20	09:00:00	5122.000	5131.000	5119.500	5125.500	17067	54494	1
2026.07.20	09:05:00	5125.500	5126.500	5119.500	5120.000	8294	28160	1
2026.07.20	09:10:00	5119.500	5124.500	5119.500	5121.500	6045	23947	1
2026.07.20	09:15:00	5121.500	5124.000	5121.000	5123.000	4594	18967	1
2026.07.20	09:20:00	5123.500	5126.500	5121.000	5122.500	7376	30582	1
2026.07.20	09:25:00	5122.000	5122.500	5116.000	5117.000	11487	66089	1
2026.07.20	09:30:00	5116.500	5120.000	5114.000	5117.000	9264	44154	1
2026.07.20	09:35:00	5117.000	5117.500	5115.000	5117.500	3561	18228	1
2026.07.20	09:40:00	5117.500	5119.000	5115.000	5119.000	2967	14333	1
2026.07.20	09:45:00	5119.000	5119.000	5113.000	5114.500	6136	27322	1
2026.07.20	09:50:00	5114.500	5115.000	5108.500	5111.000	7760	34399	1
2026.07.20	09:55:00	5110.500	5112.500	5108.000	5111.000	6442	31936	1
2026.07.20	10:00:00	5111.500	5111.500	5106.000	5107.500	7876	37339	1
2026.07.20	10:05:00	5107.500	5108.500	5105.500	5107.000	3972	19924	1
2026.07.20	10:10:00	5107.000	5108.500	5105.000	5107.000	5305	21477	1
2026.07.20	10:15:00	5107.000	5108.500	5105.500	5107.500	3231	16355	1
2026.07.20	10:20:00	5108.000	5108.000	5100.000	5102.000	10963	48274	1
2026.07.20	10:25:00	5102.000	5103.000	5100.000	5102.500	4516	23436	1
2026.07.20	10:30:00	5102.000	5103.500	5100.000	5103.000	4476	17899	1
2026.07.20	10:35:00	5103.000	5103.500	5100.000	5100.000	5538	29015	1
2026.07.20	10:40:00	5100.500	5101.500	5097.500	5100.500	8878	47592	1
2026.07.20	10:45:00	5100.500	5102.500	5100.000	5100.500	4500	19535	1
2026.07.20	10:50:00	5100.500	5101.500	5098.500	5101.500	3845	17421	1
2026.07.20	10:55:00	5101.500	5103.000	5100.000	5102.000	3269	16286	1
2026.07.20	11:00:00	5102.000	5103.500	5100.500	5102.500	3603	19052	1
2026.07.20	11:05:00	5102.000	5104.500	5101.000	5104.500	3124	15491	1
2026.07.20	11:10:00	5104.500	5105.500	5099.000	5104.000	9843	48341	1
2026.07.20	11:15:00	5103.500	5105.000	5101.000	5101.000	4794	25125	1
2026.07.20	11:20:00	5101.000	5103.500	5100.500	5101.500	3353	15744	1
2026.07.20	11:25:00	5101.500	5102.000	5099.000	5101.000	3378	18448	1
2026.07.20	11:30:00	5101.000	5102.500	5099.500	5100.000	2663	14135	1
2026.07.20	11:35:00	5100.000	5102.500	5100.000	5101.500	2279	10086	1
2026.07.20	11:40:00	5101.000	5106.000	5101.000	5104.000	5536	26088	1
2026.07.20	11:45:00	5104.000	5104.500	5100.500	5102.500	3649	15047	1
2026.07.20	11:50:00	5102.500	5102.500	5100.000	5101.500	2241	12435	1
2026.07.20	11:55:00	5102.000	5105.000	5101.500	5104.500	3674	18448	1
2026.07.20	12:00:00	5104.500	5107.000	5104.000	5106.000	5083	25201	1
2026.07.20	12:05:00	5106.000	5107.000	5102.000	5103.500	4572	19678	1
2026.07.20	12:10:00	5103.500	5111.000	5103.500	5110.000	5842	27395	1
2026.07.20	12:15:00	5110.500	5110.500	5105.000	5105.500	5905	29809	1
2026.07.20	12:20:00	5105.000	5106.500	5104.000	5105.000	2275	9485	1
2026.07.20	12:25:00	5105.000	5105.500	5103.000	5103.000	2060	8516	1
2026.07.20	12:30:00	5103.000	5104.000	5101.500	5103.500	3044	11005	1
2026.07.20	12:35:00	5103.500	5104.500	5103.000	5104.000	1635	10623	1
2026.07.20	12:40:00	5104.000	5106.000	5104.000	5105.000	1425	4944	1
