<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.07.01	09:00:00	174005	174230	172805	172835	226757	539630	1
2026.07.01	09:05:00	172830	173255	172710	173170	136632	333680	1
2026.07.01	09:10:00	173165	173445	172820	173235	95569	229442	1
2026.07.01	09:15:00	173230	173310	172640	172680	106798	258789	1
2026.07.01	09:20:00	172680	172890	172560	172695	103299	268601	1
2026.07.01	09:25:00	172695	172790	172485	172690	81654	232728	1
2026.07.01	09:30:00	172690	172720	172410	172485	81491	243904	1
2026.07.01	09:35:00	172485	172515	172360	172410	51065	156993	1
2026.07.01	09:40:00	172415	172460	172315	172375	47497	146683	1
2026.07.01	09:45:00	172380	172545	172340	172470	53118	170216	1
2026.07.01	09:50:00	172470	172570	172190	172505	91951	276167	1
2026.07.01	09:55:00	172500	172660	172275	172385	69484	213450	1
2026.07.01	10:00:00	172385	172590	172235	172340	90589	279843	1
2026.07.01	10:05:00	172340	172375	172125	172290	74526	232316	1
2026.07.01	10:10:00	172290	172485	172050	172340	122162	380890	1
2026.07.01	10:15:00	172345	172660	172190	172475	97970	318643	1
2026.07.01	10:20:00	172480	172875	172395	172650	102051	327075	1
2026.07.01	10:25:00	172645	172985	172455	172855	128551	421753	1
2026.07.01	10:30:00	172860	173185	172580	173170	156694	506798	1
2026.07.01	10:35:00	173165	173885	173155	173785	148380	502415	1
2026.07.01	10:40:00	173785	174120	173460	174040	133888	431592	1
2026.07.01	10:45:00	174045	174270	173785	173935	121366	381941	1
2026.07.01	10:50:00	173940	174000	173580	173745	97775	320773	1
2026.07.01	10:55:00	173745	173980	173675	173830	50312	162028	1
2026.07.01	11:00:00	173830	173960	173705	173790	59093	186110	1
2026.07.01	11:05:00	173795	173960	173730	173895	55203	189412	1
2026.07.01	11:10:00	173895	174120	173720	174025	62010	208549	1
2026.07.01	11:15:00	174025	174480	173985	174340	101067	356733	1
2026.07.01	11:20:00	174340	174435	173970	173990	69984	249352	1
2026.07.01	11:25:00	173990	174185	173880	174075	62126	216874	1
2026.07.01	11:30:00	174075	174185	173960	174175	49977	175400	1
2026.07.01	11:35:00	174170	174220	174010	174085	43696	151408	1
2026.07.01	11:40:00	174085	174165	173835	173865	43810	150313	1
2026.07.01	11:45:00	173865	174000	173675	173720	53714	186020	1
2026.07.01	11:50:00	173720	174100	173715	173930	55171	193465	1
2026.07.01	11:55:00	173930	173985	173660	173705	43223	153578	1
2026.07.01	12:00:00	173705	173835	173635	173785	36095	130421	1
2026.07.01	12:05:00	173780	173825	173525	173610	42142	148826	1
2026.07.01	12:10:00	173610	173655	173485	173625	34261	120751	1
2026.07.01	12:15:00	173625	173700	173475	173565	34862	119156	1
2026.07.01	12:20:00	173560	173660	173465	173640	29044	103929	1
2026.07.01	12:25:00	173640	173805	173555	173640	41702	153033	1
2026.07.01	12:30:00	173635	173800	173575	173765	29925	103131	1
2026.07.01	12:35:00	173760	174085	173730	174050	45964	152692	1
2026.07.01	12:40:00	174050	174410	174025	174370	50776	174337	1
2026.07.01	12:45:00	174370	174460	174250	174280	39284	133355	1
2026.07.01	12:50:00	174280	174540	174245	174470	39290	134435	1
2026.07.01	12:55:00	174470	174475	174210	174270	35872	123033	1
2026.07.01	13:00:00	174265	174445	174210	174350	30192	103536	1
2026.07.01	13:05:00	174345	174495	174325	174395	23206	83950	1
2026.07.01	13:10:00	174390	174450	174360	174410	11713	44036	1
2026.07.01	13:15:00	174415	174445	174365	174390	13136	47362	1
2026.07.01	13:20:00	174390	174420	174305	174345	16699	57109	1
2026.07.01	13:25:00	174345	174535	174255	174520	24693	80803	1
2026.07.01	13:30:00	174510	174615	174460	174510	33326	115077	1
2026.07.01	13:35:00	174515	174640	174495	174560	23581	79132	1
2026.07.01	13:40:00	174555	174640	174535	174550	17184	59935	1
2026.07.01	13:45:00	174550	174610	174460	174555	22627	77175	1
2026.07.01	13:50:00	174560	174590	174360	174380	25782	90598	1
2026.07.01	13:55:00	174375	174410	174260	174355	28970	99804	1
2026.07.01	14:00:00	174360	174685	174345	174635	39253	133756	1
2026.07.01	14:05:00	174630	174685	174460	174465	24411	81395	1
2026.07.01	14:10:00	174470	174575	174450	174475	18504	60189	1
2026.07.01	14:15:00	174475	174545	174435	174500	15493	50984	1
2026.07.01	14:20:00	174500	174625	174490	174575	15914	50811	1
2026.07.01	14:25:00	174575	174615	174490	174510	13297	43184	1
2026.07.01	14:30:00	174510	174530	174375	174490	26614	91835	1
2026.07.01	14:35:00	174490	174605	174490	174510	20556	68511	1
2026.07.01	14:40:00	174515	174600	174470	174575	20054	69925	1
2026.07.01	14:45:00	174570	174590	174120	174155	44918	162841	1
2026.07.01	14:50:00	174150	174200	174005	174095	34165	124401	1
2026.07.01	14:55:00	174090	174190	174050	174145	19697	65689	1
2026.07.01	15:00:00	174145	174310	174120	174215	26798	92473	1
2026.07.01	15:05:00	174215	174220	174075	174090	21817	73421	1
2026.07.01	15:10:00	174085	174105	173915	174015	33435	112292	1
2026.07.01	15:15:00	174010	174055	173915	174025	23435	81514	1
2026.07.01	15:20:00	174020	174240	174005	174125	31326	117738	1
2026.07.01	15:25:00	174120	174150	174025	174085	18328	64020	1
2026.07.01	15:30:00	174085	174140	174010	174050	18667	68300	1
2026.07.01	15:35:00	174050	174165	174025	174055	18136	63159	1
2026.07.01	15:40:00	174050	174125	174040	174115	8405	28735	1
2026.07.01	15:45:00	174110	174120	174015	174040	9958	33707	1
2026.07.01	15:50:00	174040	174080	173990	174060	15036	52554	1
2026.07.01	15:55:00	174065	174115	174055	174105	8638	31168	1
2026.07.01	16:00:00	174105	174225	174015	174020	26312	95044	1
2026.07.01	16:05:00	174015	174565	174000	174330	39909	143186	1
2026.07.01	16:10:00	174330	174360	174205	174295	24330	80767	1
2026.07.01	16:15:00	174300	174475	174290	174435	26332	100821	1
2026.07.01	16:20:00	174440	174515	174360	174415	21534	72245	1
2026.07.01	16:25:00	174415	174435	174325	174335	16857	58148	1
2026.07.01	16:30:00	174335	174410	174185	174215	25502	92149	1
2026.07.01	16:35:00	174215	174370	174210	174340	18176	64267	1
2026.07.01	16:40:00	174345	174425	174300	174405	15405	53886	1
2026.07.01	16:45:00	174410	174480	174340	174360	17830	59406	1
2026.07.01	16:50:00	174360	174395	174205	174300	23084	84767	1
2026.07.01	16:55:00	174300	174310	174190	174280	15952	59977	1
2026.07.01	17:00:00	174280	174300	174105	174250	23505	91813	1
2026.07.01	17:05:00	174250	174410	174250	174300	17476	69363	1
2026.07.01	17:10:00	174295	174390	174295	174325	9593	35435	1
